

1467740134.925140097  Node Startup
1467740135.689116954 INFO [rosbridge_websocket:141(<module>) [topics: /rosout] Rosbridge WebSocket server started on port 9090
1467740135.785325050 INFO [rosapi_node:175(<module>) [topics: /rosout] Rosapi started
1467740175.301454067 INFO [websocket_handler.py:74(open) [topics: /rosout] Client connected.  1 clients total.
1467740175.746051073 ERROR [protocol.py:363(log) [topics: /rosout] [Client 0] [id: subscribe:test:1] subscribe: Cannot infer topic type for topic test as it is not yet advertised
1467740393.992969989 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.092029094 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.191904067 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.291469097 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.392973899 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.492983102 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.594094991 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.694670915 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.793006896 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.892679929 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740394.992531061 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.092884063 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.193280935 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.295686006 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.395726919 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.491168022 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.591295957 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.691783905 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.793086051 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.892920970 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740395.992295026 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.094916105 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.191173076 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.291156053 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.392313003 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.491702079 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.592062950 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.692930936 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.791358947 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.892122030 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740396.991523027 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.091862916 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.191407918 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.291374921 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.391793012 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.493096113 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.592458963 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.691648006 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.796117067 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.891405105 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740397.992418050 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.093559026 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.191298961 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.292161941 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.392182111 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.493638038 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.592540025 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.691525936 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.791802883 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.893311977 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740398.991624116 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.092756032 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.192034006 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.291783094 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.392651081 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.491868019 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.591288089 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.691001892 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.792408943 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.890949964 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740399.991511106 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.091245889 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.191569089 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.290915012 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.391144990 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.492628097 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.591109991 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.691668033 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.790981054 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.890899896 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740400.992181062 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.093379974 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.191304922 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.291290998 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.392168045 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.491136074 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.591577053 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.691340923 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.792357921 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.892307996 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740401.991261005 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.091279029 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.193825006 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.291023015 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.391026020 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.492686986 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.597738981 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.692281961 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.792079925 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.891359090 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740402.999723911 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.091240882 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.191515922 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.292139053 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.392573118 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.491348028 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.592617988 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.693322896 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.791431903 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.891015052 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740403.993056058 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.091610908 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.191013097 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.291213035 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.391228914 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.491539955 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.594930887 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.699100017 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.791213035 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.892143964 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740404.991200923 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.096510887 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.192781925 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.292907953 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.391455888 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.493534088 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.598254919 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.691209077 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.792159080 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.892713069 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740405.993196010 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740406.091260910 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
1467740406.192038059 INFO [main.py:12(hello_world) [topics: /test, /rosout] hello, client!
